iter	Passed	Remaining
0	22	33872
1	44	33101
2	70	35323
3	104	39054
4	139	41818
5	179	44704
6	215	45897
7	250	46673
8	281	46568
9	312	46506
10	344	46672
11	374	46474
12	405	46330
13	437	46406
14	472	46822
15	505	46882
16	546	47692
17	591	48714
18	625	48757
19	666	49311
20	705	49653
21	732	49207
22	771	49526
23	802	49347
24	836	49359
25	873	49504
26	908	49538
27	942	49559
28	976	49534
29	1010	49512
30	1068	50650
31	1115	51156
32	1156	51404
33	1201	51801
34	1243	52059
35	1287	52362
36	1324	52375
37	1362	52423
38	1396	52314
39	1462	53379
40	1503	53503
41	1540	53494
42	1580	53550
43	1622	53687
44	1660	53693
45	1699	53724
46	1736	53683
47	1774	53674
48	1814	53732
49	1850	53674
50	1893	53804
51	1930	53761
52	1972	53854
53	2010	53827
54	2060	54125
55	2115	54538
56	2155	54568
57	2188	54401
58	2223	54304
59	2260	54250
60	2299	54242
61	2338	54232
62	2377	54225
63	2418	54273
64	2459	54308
65	2500	54324
66	2540	54332
67	2577	54273
68	2614	54224
69	2651	54176
70	2690	54150
71	2727	54100
72	2769	54135
73	2806	54090
74	2844	54050
75	2879	53944
76	2916	53900
77	2955	53886
78	2997	53909
79	3036	53906
80	3084	54039
81	3133	54190
82	3172	54165
83	3216	54222
84	3253	54160
85	3296	54202
86	3337	54201
87	3375	54154
88	3411	54089
89	3452	54085
90	3495	54129
91	3533	54073
92	3566	53960
93	3611	54019
94	3649	53981
95	3690	53970
96	3730	53961
97	3769	53926
98	3811	53935
99	3856	53991
100	3897	53985
101	3934	53925
102	3970	53850
103	4009	53813
104	4040	53675
105	4083	53704
106	4127	53739
107	4165	53684
108	4204	53661
109	4246	53665
110	4279	53557
111	4320	53548
112	4354	53444
113	4395	53435
114	4430	53358
115	4474	53389
116	4511	53331
117	4552	53324
118	4596	53338
119	4631	53265
120	4671	53242
121	4704	53139
122	4747	53148
123	4787	53128
124	4824	53068
125	4864	53050
126	4904	53025
127	4934	52886
128	4965	52770
129	5001	52706
130	5048	52755
131	5096	52822
132	5151	52949
133	5195	52959
134	5236	52944
135	5279	52950
136	5318	52911
137	5348	52784
138	5390	52778
139	5426	52716
140	5465	52676
141	5505	52648
142	5542	52595
143	5587	52612
144	5640	52712
145	5682	52700
146	5728	52723
147	5757	52595
148	5796	52557
149	5841	52573
150	5883	52562
151	5920	52501
152	5959	52465
153	5992	52375
154	6035	52375
155	6094	52509
156	6141	52531
157	6182	52512
158	6217	52435
159	6256	52400
160	6295	52357
161	6331	52293
162	6369	52248
163	6404	52174
164	6441	52114
165	6473	52023
166	6518	52031
167	6566	52065
168	6616	52112
169	6661	52114
170	6692	52013
171	6729	51961
172	6770	51935
173	6809	51893
174	6845	51826
175	6878	51742
176	6934	51829
177	6988	51903
178	7067	52159
179	7128	52279
180	7182	52344
181	7221	52295
182	7256	52222
183	7296	52183
184	7350	52248
185	7399	52273
186	7437	52220
187	7475	52171
188	7507	52077
189	7533	51940
190	7576	51925
191	7614	51876
192	7652	51822
193	7685	51741
194	7723	51689
195	7759	51623
196	7796	51570
197	7831	51500
198	7868	51443
199	7898	51342
200	7930	51253
201	7975	51247
202	8027	51287
203	8081	51342
204	8119	51292
205	8155	51231
206	8193	51180
207	8227	51105
208	8263	51046
209	8299	50980
210	8325	50860
211	8362	50808
212	8397	50737
213	8434	50684
214	8471	50630
215	8503	50549
216	8543	50511
217	8591	50526
218	8640	50543
219	8677	50487
220	8720	50465
221	8765	50461
222	8810	50455
223	8854	50439
224	8893	50397
225	8928	50332
226	8966	50282
227	9017	50310
228	9074	50364
229	9123	50377
230	9174	50397
231	9228	50440
232	9280	50466
233	9330	50479
234	9378	50482
235	9430	50509
236	9479	50519
237	9530	50534
238	9582	50560
239	9628	50550
240	9680	50569
241	9722	50540
242	9774	50559
243	9828	50591
244	9861	50514
245	9897	50451
246	9953	50494
247	10020	50587
248	10067	50581
249	10111	50558
250	10162	50571
251	10207	50550
252	10246	50505
253	10286	50458
254	10323	50405
255	10372	50404
256	10417	50383
257	10457	50340
258	10497	50296
259	10540	50269
260	10582	50237
261	10633	50243
262	10674	50205
263	10724	50210
264	10765	50173
265	10807	50138
266	10853	50121
267	10928	50237
268	10981	50255
269	11028	50242
270	11071	50210
271	11115	50181
272	11159	50156
273	11206	50144
274	11245	50095
275	11282	50034
276	11320	49982
277	11359	49931
278	11402	49903
279	11448	49884
280	11496	49871
281	11539	49841
282	11579	49797
283	11628	49790
284	11667	49738
285	11708	49699
286	11749	49657
287	11795	49639
288	11841	49617
289	11876	49554
290	11922	49534
291	11959	49477
292	12009	49473
293	12057	49461
294	12101	49430
295	12142	49390
296	12186	49360
297	12227	49320
298	12271	49289
299	12319	49278
300	12356	49222
301	12397	49179
302	12432	49112
303	12480	49098
304	12524	49072
305	12569	49045
306	12613	49017
307	12654	48976
308	12695	48935
309	12740	48908
310	12786	48886
311	12837	48881
312	12883	48857
313	12923	48813
314	12946	48704
315	12987	48661
316	13033	48639
317	13077	48608
318	13115	48555
319	13160	48530
320	13198	48475
321	13243	48450
322	13289	48427
323	13339	48417
324	13385	48392
325	13425	48347
326	13471	48323
327	13508	48267
328	13550	48231
329	13593	48195
330	13637	48164
331	13687	48153
332	13733	48128
333	13787	48132
334	13833	48108
335	13875	48067
336	13924	48054
337	13968	48020
338	14005	47966
339	14044	47918
340	14089	47888
341	14135	47862
342	14181	47836
343	14221	47790
344	14260	47741
345	14303	47705
346	14346	47671
347	14390	47635
348	14438	47617
349	14478	47573
350	14520	47532
351	14559	47483
352	14603	47449
353	14642	47401
354	14692	47389
355	14750	47400
356	14809	47414
357	14867	47426
358	14912	47396
359	14957	47364
360	15013	47370
361	15064	47357
362	15113	47338
363	15158	47306
364	15204	47278
365	15256	47269
366	15303	47244
367	15347	47210
368	15383	47150
369	15417	47086
370	15462	47054
371	15507	47021
372	15545	46970
373	15566	46864
374	15605	46817
375	15669	46842
376	15723	46838
377	15780	46839
378	15818	46787
379	15859	46742
380	15901	46704
381	15936	46642
382	15972	46582
383	16010	46529
384	16052	46488
385	16092	46441
386	16142	46425
387	16191	46404
388	16234	46367
389	16265	46294
390	16310	46261
391	16355	46229
392	16399	46195
393	16444	46160
394	16480	46103
395	16523	46066
396	16566	46028
397	16609	45989
398	16657	45963
399	16718	45976
400	16763	45943
401	16797	45880
402	16836	45829
403	16881	45796
404	16919	45745
405	16962	45705
406	17000	45656
407	17039	45606
408	17077	45553
409	17121	45517
410	17166	45484
411	17210	45448
412	17243	45384
413	17289	45352
414	17326	45298
415	17368	45258
416	17413	45225
417	17452	45176
418	17499	45148
419	17538	45099
420	17592	45089
421	17647	45080
422	17702	45071
423	17753	45053
424	17807	45043
425	17846	44993
426	17884	44941
427	17924	44895
428	17959	44835
429	17991	44769
430	18033	44727
431	18072	44680
432	18117	44645
433	18159	44603
434	18207	44576
435	18251	44539
436	18293	44498
437	18336	44458
438	18379	44419
439	18422	44380
440	18464	44340
441	18504	44294
442	18557	44277
443	18616	44276
444	18664	44249
445	18711	44220
446	18754	44179
447	18798	44143
448	18830	44077
449	18866	44022
450	18908	43978
451	18948	43933
452	18987	43885
453	19017	43814
454	19056	43767
455	19105	43741
456	19152	43710
457	19189	43659
458	19228	43610
459	19267	43561
460	19304	43509
461	19350	43475
462	19383	43413
463	19422	43366
464	19464	43325
465	19516	43305
466	19560	43266
467	19603	43227
468	19639	43172
469	19691	43153
470	19733	43111
471	19776	43071
472	19823	43041
473	19863	42996
474	19904	42952
475	19942	42901
476	19980	42851
477	20018	42801
478	20054	42745
479	20105	42723
480	20149	42686
481	20195	42653
482	20242	42623
483	20291	42595
484	20335	42557
485	20377	42515
486	20459	42557
487	20512	42538
488	20567	42522
489	20608	42478
490	20647	42429
491	20692	42393
492	20733	42351
493	20767	42291
494	20816	42263
495	20865	42236
496	20908	42195
497	20951	42154
498	21001	42129
499	21045	42090
500	21080	42034
501	21122	41993
502	21170	41962
503	21210	41916
504	21259	41887
505	21301	41845
506	21353	41822
507	21402	41794
508	21459	41780
509	21501	41738
510	21541	41692
511	21570	41624
512	21613	41583
513	21653	41537
514	21694	41494
515	21746	41469
516	21781	41413
517	21819	41364
518	21860	41320
519	21894	41263
520	21938	41223
521	21979	41179
522	22020	41136
523	22061	41092
524	22110	41062
525	22159	41032
526	22189	40968
527	22233	40930
528	22272	40881
529	22318	40846
530	22377	40835
531	22424	40803
532	22469	40766
533	22507	40716
534	22548	40671
535	22589	40627
536	22624	40571
537	22667	40532
538	22706	40484
539	22746	40438
540	22794	40405
541	22837	40365
542	22876	40318
543	22918	40275
544	22973	40257
545	23012	40209
546	23052	40163
547	23094	40120
548	23131	40068
549	23178	40035
550	23209	39973
551	23257	39942
552	23311	39919
553	23367	39901
554	23415	39870
555	23460	39832
556	23499	39784
557	23541	39741
558	23589	39709
559	23633	39670
560	23677	39631
561	23726	39599
562	23771	39563
563	23808	39512
564	23860	39486
565	23917	39467
566	23971	39445
567	24023	39419
568	24061	39368
569	24102	39325
570	24151	39293
571	24197	39257
572	24248	39229
573	24300	39201
574	24353	39177
575	24396	39136
576	24450	39112
577	24498	39078
578	24543	39040
579	24589	39004
580	24637	38971
581	24681	38931
582	24740	38914
583	24800	38898
584	24856	38878
585	24914	38859
586	24966	38831
587	25013	38796
588	25065	38768
589	25119	38744
590	25152	38686
591	25209	38666
592	25286	38675
593	25345	38658
594	25396	38628
595	25445	38595
596	25494	38561
597	25541	38526
598	25578	38474
599	25635	38452
600	25685	38421
601	25729	38380
602	25781	38351
603	25839	38331
604	25895	38307
605	25945	38276
606	25997	38246
607	26043	38208
608	26094	38178
609	26151	38155
610	26208	38133
611	26278	38130
612	26334	38105
613	26382	38070
614	26435	38041
615	26484	38006
616	26528	37965
617	26579	37933
618	26623	37891
619	26668	37852
620	26724	37826
621	26777	37798
622	26825	37762
623	26866	37715
624	26904	37666
625	26951	37629
626	26998	37591
627	27045	37553
628	27103	37531
629	27169	37519
630	27248	37526
631	27298	37491
632	27349	37459
633	27407	37436
634	27463	37410
635	27507	37368
636	27557	37333
637	27601	37292
638	27646	37251
639	27693	37213
640	27745	37181
641	27790	37140
642	27844	37111
643	27905	37091
644	27950	37050
645	27989	37001
646	28035	36961
647	28087	36929
648	28140	36899
649	28191	36865
650	28244	36835
651	28295	36802
652	28332	36750
653	28376	36706
654	28429	36675
655	28476	36637
656	28523	36599
657	28566	36555
658	28615	36517
659	28653	36467
660	28695	36423
661	28737	36378
662	28778	36331
663	28819	36284
664	28859	36237
665	28906	36197
666	28947	36151
667	28993	36111
668	29044	36077
669	29097	36045
670	29150	36014
671	29197	35975
672	29243	35934
673	29277	35879
674	29325	35842
675	29369	35799
676	29412	35755
677	29453	35708
678	29495	35664
679	29538	35619
680	29584	35579
681	29630	35538
682	29679	35502
683	29732	35469
684	29773	35424
685	29818	35382
686	29862	35339
687	29910	35300
688	29950	35253
689	30031	35253
690	30098	35238
691	30148	35202
692	30196	35164
693	30260	35143
694	30300	35095
695	30332	35039
696	30374	34994
697	30418	34950
698	30465	34911
699	30508	34867
700	30555	34827
701	30597	34781
702	30650	34748
703	30704	34716
704	30748	34674
705	30801	34640
706	30850	34602
707	30891	34556
708	30941	34520
709	30982	34473
710	31027	34431
711	31070	34386
712	31111	34339
713	31164	34306
714	31213	34269
715	31264	34233
716	31308	34190
717	31344	34138
718	31380	34086
719	31427	34046
720	31474	34006
721	31520	33965
722	31572	33930
723	31616	33887
724	31658	33842
725	31702	33798
726	31749	33758
727	31790	33711
728	31841	33675
729	31891	33638
730	31947	33608
731	32007	33581
732	32045	33532
733	32093	33492
734	32134	33446
735	32172	33396
736	32208	33345
737	32244	33293
738	32292	33253
739	32337	33211
740	32379	33166
741	32423	33122
742	32472	33084
743	32515	33039
744	32559	32996
745	32599	32948
746	32637	32899
747	32683	32857
748	32727	32815
749	32773	32773
750	32820	32733
751	32885	32710
752	32941	32679
753	32998	32648
754	33053	32615
755	33097	32572
756	33139	32526
757	33173	32473
758	33214	32426
759	33257	32382
760	33301	32338
761	33336	32286
762	33375	32238
763	33411	32186
764	33448	32137
765	33489	32090
766	33525	32039
767	33572	31999
768	33625	31963
769	33664	31915
770	33707	31870
771	33746	31822
772	33801	31790
773	33849	31750
774	33909	31721
775	33943	31669
776	33980	31619
